"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"VANG"	86	16	2	1	208	81	292	26	38	4	0	57	0	34	84	180	68	58	26	26	155	0	10	58	39	40	167	8	8	48
"VANHA"	210	78	516	28	620	548	482	74	88	38	2	398	6	950	168	352	140	180	54	140	418	6	14	172	182	86	534	50	62	543
"VANHB"	32	26	10	8	114	28	88	102	8	2	0	22	2	122	22	82	32	32	10	40	60	4	18	14	44	24	80	0	8	22
"VANHD"	189	72	836	32	566	550	512	54	86	32	0	288	6	554	230	723	122	130	44	130	328	18	28	138	207	96	539	26	36	247
"VANI"	44	18	686	6	128	100	120	14	38	2	0	50	6	164	32	78	44	22	22	10	110	2	14	38	32	12	124	16	0	36
"VANK"	50	24	72	12	193	390	85	20	18	10	4	217	6	460	32	64	52	86	12	54	142	6	10	68	58	12	94	10	22	219
"VANL"	18	0	6	0	22	6	28	8	2	0	0	14	0	44	14	16	8	2	4	6	8	0	0	12	8	2	16	0	0	2
"VANN"	14	4	8	0	46	12	30	2	0	0	0	4	0	16	14	28	2	8	2	6	38	2	0	6	14	6	50	0	4	8
"VANRA"	74	26	2	6	230	123	145	34	40	8	0	76	4	76	54	197	54	48	28	60	122	2	4	52	63	36	166	20	20	42
"VANRB"	75	42	16	2	224	52	174	20	12	10	0	94	0	342	98	154	32	38	14	44	108	4	22	72	88	30	192	26	16	37
"VANRC"	89	31	9	10	272	225	264	39	26	12	0	152	0	642	185	235	65	39	14	49	152	6	4	37	71	42	202	16	8	51
"VANRD"	77	4	134	4	128	142	151	21	20	4	1	63	0	199	56	149	39	54	10	22	158	0	13	18	15	14	120	6	14	28
"VANRE"	24	0	52	0	26	26	32	2	0	0	6	4	0	34	8	8	0	0	2	0	16	0	6	0	2	2	16	2	0	2
"VANRG"	14	5	309	0	50	4	89	6	5	2	0	40	0	68	35	62	32	6	6	8	31	2	0	18	10	9	24	8	2	10
"VANRI"	72	24	232	0	286	231	168	60	18	2	0	74	4	54	181	145	66	30	15	52	149	12	16	56	90	34	154	32	12	28
"VANRL"	10	0	0	0	30	22	4	0	12	0	0	10	2	18	4	22	0	4	0	2	11	0	0	4	0	6	20	4	0	0
"VANRN"	17	4	0	0	14	22	26	5	6	0	0	2	0	18	6	24	1	4	0	2	26	0	0	0	12	2	6	6	0	0
"VANRO"	55	40	1130	12	224	275	96	28	21	2	2	138	8	315	42	74	58	68	16	52	116	0	14	57	60	39	460	14	32	263
"VANSA"	38	12	30	2	100	42	74	22	20	0	0	28	0	80	48	238	10	4	8	44	94	0	4	22	37	12	124	12	18	20
"VANSB"	16	6	74	0	72	26	44	6	8	0	0	8	2	44	12	50	16	24	12	14	44	0	2	22	28	18	96	18	10	20
"VANSC"	78	10	80	26	226	58	164	22	13	2	0	50	4	78	84	110	36	32	12	24	92	2	8	26	46	22	114	0	18	18
"VANSD"	62	40	66	10	172	188	251	38	26	4	0	142	2	292	48	202	40	38	28	60	162	10	22	48	104	40	202	24	8	258
"VANSE"	6	0	0	0	42	4	48	0	6	0	0	8	0	4	4	2	6	0	0	4	2	0	2	4	4	10	4	0	0	0
"VANSG"	12	4	40	0	22	26	46	0	2	2	0	18	0	12	16	42	6	7	4	2	10	0	0	2	4	4	14	4	6	0
"VANSL"	12	10	18	4	20	22	14	2	0	0	0	24	0	12	4	18	2	8	0	0	0	4	0	6	8	8	14	0	0	0
"VANSM"	49	8	18	0	113	70	118	4	16	6	0	37	2	74	42	84	17	14	14	34	58	0	18	8	32	20	70	6	2	20
"VANSN"	8	0	8	2	6	18	28	0	4	0	0	14	0	12	6	30	2	0	0	8	12	0	0	0	2	2	12	0	2	6
"VANSO"	24	15	248	8	124	181	154	12	26	12	0	122	0	246	54	54	36	54	18	10	116	8	8	26	40	40	86	12	8	146
"VANTC"	80	36	364	0	155	175	240	10	20	4	0	108	2	284	72	192	38	30	10	16	162	4	8	56	60	48	178	24	14	52
"VANTE"	12	0	0	0	44	18	38	8	4	2	0	10	0	54	22	14	12	10	2	6	16	0	0	2	36	2	18	2	4	0
"VANTG"	36	8	326	6	40	54	70	12	6	0	0	36	2	178	58	64	28	12	2	16	32	0	0	10	18	14	44	4	2	32
"VANTML"	0	0	140	0	22	4	6	6	0	0	0	2	0	2	4	12	0	2	8	2	18	0	0	4	2	2	10	4	0	0
"VANTN"	12	0	42	0	28	18	46	8	6	0	0	24	0	74	26	32	4	4	2	16	28	0	2	4	12	4	22	8	2	6
"VANTRL"	18	2	2	0	34	6	8	0	0	0	0	6	0	8	2	20	2	4	0	2	14	0	0	0	8	0	12	0	2	0
"VANWA"	12	4	0	0	29	74	52	6	4	0	0	20	2	714	24	25	2	10	4	22	54	0	8	53	16	4	30	0	2	28
"VANWB"	8	0	0	0	14	30	16	0	8	16	0	12	0	24	4	36	4	2	0	0	14	0	0	8	12	8	34	0	0	4
"VANWG"	12	0	0	0	28	2	10	2	0	0	0	0	0	22	12	10	6	2	0	11	14	0	0	4	10	6	2	4	0	0
"VANWI"	22	10	484	0	66	90	74	2	16	2	0	28	0	98	40	36	18	16	4	16	36	0	6	10	16	6	50	16	2	20
"VANXA"	130	93	1238	18	554	584	391	34	135	24	10	398	21	912	120	239	95	152	69	153	317	6	12	126	147	77	499	28	25	517
"VANXB"	68	22	132	4	288	177	248	16	76	8	0	100	2	466	40	213	117	66	28	51	162	8	12	62	48	36	516	26	34	158
"VANXD"	10	2	2	0	60	12	34	8	8	0	0	2	0	14	12	24	2	4	6	0	34	6	2	18	12	4	28	0	2	8
"VANXI"	4	2	0	0	20	2	20	6	2	0	0	6	0	0	8	10	2	0	0	4	6	0	2	0	6	0	8	0	2	0
"VANXM"	152	72	486	16	386	330	411	70	114	8	0	298	10	600	124	270	88	62	32	96	302	10	14	118	116	84	510	38	60	320
"VANXO"	12	6	0	2	16	14	18	2	8	0	0	0	0	18	8	14	6	10	2	2	14	2	0	2	10	2	20	4	0	2
"VANXYC"	44	16	212	10	126	62	87	8	14	4	0	70	0	98	46	118	24	26	8	22	76	0	6	36	48	34	112	6	10	12
"VANXYE"	8	0	2	0	12	4	20	0	1	0	0	14	0	38	4	18	2	0	2	2	14	0	0	6	4	6	8	6	0	8
"VANXYG"	10	4	0	0	18	9	30	2	2	6	0	10	0	8	10	14	13	10	2	0	8	0	1	1	14	6	2	2	2	2
"VANXYL"	4	0	0	0	2	4	18	0	0	0	0	2	0	10	2	2	2	2	0	0	4	0	0	4	6	0	6	0	0	0
"VANXYN"	6	0	0	0	4	2	2	2	0	0	0	4	0	2	4	4	0	0	0	0	4	0	0	6	0	0	0	0	0	8
"VANYA"	44	28	12	0	143	237	162	13	24	4	0	239	38	709	60	88	46	48	10	42	76	3	14	51	59	14	164	10	10	244
"VANYB"	21	0	0	0	64	8	52	4	2	2	0	20	0	146	18	40	2	34	0	8	44	0	6	10	18	4	18	0	0	10
"VANYD"	50	16	390	4	212	94	146	44	14	0	0	72	0	74	62	52	24	44	18	6	82	2	16	52	22	12	140	6	2	34
"VANYF"	66	14	8	8	151	218	146	2	26	2	2	120	2	96	105	154	44	22	12	24	84	6	0	36	54	36	156	2	6	25
"VANYG"	10	8	0	0	52	56	36	18	20	0	0	26	0	14	20	32	2	10	4	10	40	0	0	6	2	12	62	0	4	4
"VANZA"	0	6	0	0	62	40	10	0	0	2	0	28	0	22	14	24	0	4	0	6	22	0	0	0	6	6	14	0	4	4
"VARG"	0	0	0	0	14	18	18	0	2	0	0	20	2	14	4	22	8	6	0	0	10	0	0	4	18	16	12	0	0	2
"VATA"	8	8	0	0	73	4	10	2	2	0	0	13	2	40	13	44	2	4	2	8	22	0	0	6	12	4	16	6	0	0
"VATB"	8	4	0	0	10	12	27	4	0	0	0	10	0	11	0	26	14	2	0	0	6	0	2	0	4	10	18	0	0	0
"VATC"	22	0	0	0	26	0	32	4	2	0	0	6	2	2	6	36	2	0	0	0	12	0	4	18	14	6	104	0	0	0
"VATD"	4	0	0	0	38	10	22	0	6	0	0	6	0	12	37	38	0	4	0	14	42	0	0	6	2	0	4	0	0	0
"VATE"	6	12	0	0	14	18	6	0	6	0	0	10	0	30	6	8	22	14	8	0	26	0	0	10	0	4	26	0	4	4
"VATF"	4	12	150	0	70	112	46	2	2	0	0	12	0	12	10	18	10	0	12	24	34	4	0	10	10	10	16	0	2	2
"VATI"	0	2	0	0	14	4	12	2	0	0	0	4	0	0	12	8	2	2	0	2	16	0	0	4	4	8	20	4	0	10
"VCAM"	54	8	46	0	128	162	86	0	16	3	0	52	8	194	70	122	28	32	0	22	76	2	6	36	46	34	92	6	9	27
"VCC"	8	0	10	0	20	34	42	8	0	0	0	18	0	16	14	8	2	0	0	6	12	0	2	0	14	6	42	2	0	0
"VCEA"	6	6	0	6	54	14	34	10	2	0	0	16	0	6	18	52	10	16	14	6	20	0	2	8	14	12	38	6	0	8
"VCEB"	14	2	0	2	24	6	30	2	4	6	0	20	0	40	2	48	8	12	6	0	14	0	0	2	18	2	16	0	6	10
"VCEC"	10	6	222	2	56	14	30	2	8	4	0	16	0	22	8	24	6	2	0	8	20	2	0	12	4	6	34	0	6	6
"VCER"	0	0	24	0	4	6	8	2	0	0	0	2	0	46	0	10	0	0	2	2	10	0	0	0	4	12	8	0	0	4
"VCMA"	10	0	2	0	48	16	44	12	0	2	0	16	0	46	8	24	10	4	0	4	26	0	2	4	12	6	20	10	0	6
"VCRM"	30	6	0	4	82	10	88	14	2	0	0	22	2	28	26	58	8	10	0	8	34	0	0	6	14	12	50	0	16	8
"VEB"	11	32	153	0	53	530	61	4	9	0	0	139	32	1893	68	26	11	50	0	22	30	4	6	33	28	19	54	0	4	316
"VEXA"	16	0	0	0	24	10	34	4	8	0	0	22	0	12	24	16	16	0	0	4	8	0	6	4	0	0	40	0	0	8
"VEXB"	68	12	0	22	222	70	110	26	28	2	0	58	0	62	52	136	38	46	16	44	136	2	2	56	68	28	120	12	10	22
"VEXC"	0	12	310	0	28	14	30	2	4	2	0	14	0	142	8	28	2	4	2	6	26	4	6	6	12	4	18	2	12	26
"VEXD"	54	24	62	16	252	256	252	36	16	0	0	174	16	570	56	120	50	50	20	164	98	10	18	84	68	66	90	10	30	356
"VEXE"	20	2	0	0	100	32	44	8	10	0	0	22	2	26	42	52	28	8	8	2	32	2	0	16	12	22	58	0	6	24
"VEXF"	50	16	0	4	134	92	106	14	52	6	0	60	0	132	46	92	16	22	8	44	90	4	8	36	40	26	132	8	16	54
"VEXH"	52	28	374	0	151	68	94	12	28	2	8	42	0	68	34	102	36	24	22	20	126	0	8	30	52	38	124	8	14	18
"VEXK"	28	10	210	6	150	70	84	4	18	6	0	28	0	118	54	86	26	36	4	26	70	2	16	54	100	36	112	6	12	38
"VGA"	76	12	130	16	144	188	198	18	20	2	0	130	10	567	144	224	48	46	12	58	128	8	10	48	78	38	184	10	22	34
"VGAB"	18	10	42	0	32	18	64	0	7	0	0	20	0	122	14	42	15	4	2	6	28	2	2	14	4	10	18	0	0	14
"VGAD"	12	4	408	0	52	78	74	0	8	0	0	36	0	6	44	16	12	10	0	6	12	2	0	20	8	6	32	0	0	6
"VGAE"	6	4	0	0	26	42	28	2	2	0	0	16	0	203	14	42	8	20	0	2	20	0	0	6	8	2	16	2	2	2
"VGBA"	0	0	0	0	18	2	0	0	4	0	0	2	0	8	2	8	0	8	0	2	2	0	0	0	0	8	4	2	0	4
"VGBB"	2	2	0	0	26	20	40	4	0	0	0	4	0	18	10	32	10	8	0	0	16	0	2	2	2	4	26	0	2	2
"VGBC"	18	2	0	0	32	32	22	0	10	0	0	6	0	10	2	30	0	4	8	24	26	0	4	8	16	4	28	6	2	8
"VHW"	4	0	2	0	4	12	4	0	4	0	0	10	0	0	12	2	2	2	0	0	0	0	0	2	8	6	4	6	0	4
"VIM"	22	10	236	4	152	178	129	38	18	0	2	103	3	267	34	98	36	30	10	54	686	4	2	58	66	24	114	10	16	115
"VMEA"	12	22	340	0	92	50	86	36	26	0	0	40	0	46	28	94	32	30	0	6	46	0	0	20	28	8	56	2	16	40
"VMEB"	59	28	161	6	261	246	204	44	32	4	2	74	2	324	93	188	55	35	22	27	128	8	4	62	80	57	227	12	11	60
"VMEC"	14	8	0	0	44	12	26	6	0	0	0	14	0	16	2	32	12	2	8	4	30	0	0	2	10	4	18	4	0	2
"VMED"	38	10	2	10	112	94	70	14	46	2	0	32	0	60	62	82	24	4	0	18	74	0	10	24	18	12	74	8	18	24
"VMEE"	16	0	130	4	28	30	30	2	6	0	0	14	0	74	2	26	2	0	2	4	24	0	0	4	10	10	36	2	2	16
"VMEF"	26	10	0	0	114	72	112	8	12	2	0	50	0	64	32	80	22	18	22	40	154	6	8	56	48	4	90	8	12	20
"VMEG"	8	0	40	0	46	12	18	4	8	0	0	6	0	12	16	34	6	4	4	2	28	0	2	6	20	0	56	0	2	6
"VMEH"	6	0	0	0	74	28	30	0	0	4	2	10	0	26	8	26	0	6	4	0	18	0	4	6	8	10	20	0	4	12
"VMEI"	56	28	310	0	134	80	110	32	20	0	0	92	8	121	80	128	14	26	10	16	94	2	6	38	32	20	90	14	22	14
"VMEJ"	10	2	0	0	42	32	24	0	0	0	0	16	0	76	2	50	4	6	0	6	20	0	0	10	18	0	32	0	4	22
"VMEK"	70	16	240	12	174	94	82	22	34	4	0	74	6	56	48	128	34	38	26	16	134	6	0	44	72	66	108	8	12	44
"VMEP"	30	12	690	2	58	26	54	6	10	0	0	14	0	50	24	30	10	16	2	38	48	0	2	24	36	8	36	6	6	14
"VMEQ"	72	32	282	8	191	168	132	28	64	2	0	134	4	490	100	112	66	30	28	48	97	0	0	42	56	14	224	24	8	167
"VMET"	8	0	0	4	24	26	32	4	4	0	0	14	0	16	4	20	0	16	0	4	4	0	2	4	18	8	44	0	4	20
"VMEU"	16	0	108	0	40	18	38	0	2	12	0	14	0	24	28	84	20	8	4	16	14	0	14	6	14	22	42	4	12	26
"VMEV"	26	18	8	0	96	78	60	6	6	4	0	30	4	134	42	88	24	14	4	18	58	6	2	40	24	14	62	6	6	14
"VMEY"	12	0	928	0	28	22	32	6	8	0	0	10	0	54	16	34	6	4	0	6	8	0	10	0	10	4	52	0	0	6
"VMEZ"	64	14	0	2	80	262	66	2	12	6	0	60	0	52	82	97	30	12	16	16	98	4	4	18	40	16	56	16	8	48
"VMLR"	58	6	4083	4	137	80	155	14	10	0	2	50	14	204	42	110	38	16	12	14	80	0	8	28	18	32	114	8	20	28
"VMRA"	12	24	126	0	36	66	16	2	18	0	0	8	0	36	50	18	0	10	6	2	14	2	4	12	22	6	6	2	2	0
"VPH"	46	26	48	8	238	368	124	40	40	16	2	301	4	1078	32	78	66	108	30	62	176	12	2	56	90	20	256	22	50	378
"VPOC"	4	2	0	0	38	10	20	12	2	2	0	6	0	20	12	42	16	12	6	0	18	0	0	8	2	10	10	8	0	8
"WALK|RequiresSNPConfirmation"	30	4	4796	4	88	28	97	12	11	6	8	24	2	256	40	108	16	3	2	24	32	2	6	14	24	4	62	2	8	2
"WHH"	2	0	0	0	2	12	14	0	12	4	0	8	0	2	0	6	4	2	0	2	14	0	0	0	0	2	6	2	0	0
"WTPA"	6	4	0	0	24	0	18	0	0	0	0	2	0	6	4	14	6	2	4	26	6	0	0	6	12	2	20	0	6	8
"WTPB"	4	2	0	10	30	0	44	2	18	0	0	2	0	6	4	22	8	0	4	4	10	0	0	4	12	16	950	0	6	4
"WTPC"	40	0	4	0	38	22	42	2	2	0	0	24	0	20	30	92	8	38	4	2	44	0	2	4	20	12	50	12	12	12
"YBTP"	106	62	1952	8	434	272	228	22	76	24	0	167	0	273	76	238	118	92	30	92	287	14	8	130	129	74	648	12	56	150
"YBTQ"	74	18	792	2	302	186	158	14	38	4	8	132	3	152	63	172	54	90	22	56	158	16	6	68	80	40	256	12	34	122
"YCHH"	6	0	2362	0	21	11	2	5	8	0	0	25	0	4	7	29	3	6	0	2	7	2	5	12	0	0	44	2	6	7
"YCNJ"	16	20	5448	4	74	42	54	19	6	0	0	63	6	143	22	90	16	26	2	22	38	2	4	26	44	12	84	2	18	26
"YCNK"	8	8	2382	0	20	2	18	10	2	0	2	12	0	6	2	12	4	12	0	2	8	0	0	4	14	12	12	0	10	5
"YDDG"	0	2	3693	0	50	12	24	18	10	0	2	24	2	65	10	9	20	8	4	2	10	0	0	6	12	6	6	2	4	6
"YDEI"	6	4	1635	0	16	8	17	12	0	0	0	15	0	25	6	15	2	1	6	3	22	0	0	8	13	8	52	0	0	34
"YDEO"	18	4	2016	0	18	4	20	4	0	0	0	13	0	4	12	42	12	4	0	4	20	2	0	22	7	12	29	0	8	14
"YDEP"	26	6	6634	0	99	81	98	26	20	4	1	97	6	62	28	131	14	31	8	26	48	4	4	53	29	10	149	14	28	88
"YFEA"	18	0	0	0	28	10	40	2	0	0	0	12	2	8	6	30	10	18	2	4	38	0	10	8	6	0	14	4	8	6
"YFEB"	8	4	198	2	40	22	30	6	4	0	0	24	0	92	2	34	20	2	0	10	4	6	4	8	18	0	20	4	0	8
"YFEC"	6	0	98	0	20	8	10	8	22	0	0	20	0	14	8	34	6	0	0	0	13	0	0	0	12	6	22	4	2	4
"YFED"	14	0	7	0	26	10	24	0	8	0	0	10	0	4	2	46	0	12	4	6	6	0	4	4	4	0	12	4	2	4
"YFMO"	24	22	5043	0	84	103	42	18	18	0	0	56	0	82	18	80	30	8	4	20	56	2	0	25	30	14	68	12	0	99
"YFMP"	16	0	1486	0	34	8	32	0	2	0	0	6	0	124	6	11	6	0	0	0	18	2	0	8	6	8	16	0	2	0
"YGIW"	57	16	4979	14	286	217	114	41	48	4	11	143	4	409	68	165	66	37	12	51	122	4	14	27	60	29	159	34	24	276
"YGJH"	87	6	4237	10	92	96	93	21	6	8	3	147	2	203	56	76	39	41	7	15	79	0	14	27	45	18	126	6	20	39
"YHCN"	8	4	1864	0	19	6	6	0	3	0	4	16	0	10	3	6	0	2	0	5	8	1	0	6	4	4	66	0	2	4
"YIEF"	10	2	2974	0	41	33	26	25	13	2	0	24	1	19	12	41	0	9	7	4	32	0	6	34	20	4	89	0	4	16
"YJAA"	6	0	1460	0	16	2	6	3	2	0	0	1	0	6	0	6	6	0	0	0	0	0	0	25	2	0	2	0	0	4
"YJCG"	74	63	17710	4	141	332	162	59	43	6	2	328	22	338	171	170	29	43	10	68	110	16	11	98	68	26	313	12	7	126
"YKKC"	2	0	1351	0	14	6	54	2	0	0	0	2	2	54	2	8	2	6	0	10	26	0	0	2	0	6	18	0	0	10
"YKKCL|RequiresSNPConfirmation"	34	6	7331	2	122	64	84	6	22	4	2	32	6	190	58	80	36	26	16	74	98	2	4	48	44	16	84	10	14	36
"YODB"	4	6	1346	0	9	100	32	6	6	0	0	17	0	26	22	43	16	4	0	6	31	0	0	25	7	2	37	0	6	4
"YOGI"	55	22	13473	2	264	117	134	38	46	16	4	227	8	231	70	226	40	56	10	70	179	8	4	118	81	38	249	16	35	48
"YYBT|RequiresSNPConfirmation"	24	2	8092	0	28	79	42	5	23	8	2	42	4	100	38	44	12	28	16	4	26	16	6	14	6	2	20	6	2	119
"ZBMA"	16	8	0	0	102	92	56	18	24	0	0	34	0	812	8	40	22	16	2	10	52	0	2	2	16	2	82	0	0	90
"ZEVA"	10	0	0	0	6	4	2	0	0	0	0	0	0	12	0	30	2	0	0	0	10	0	0	0	4	10	22	0	6	0
"ZEVB"	14	0	18	0	16	22	44	0	0	0	0	36	2	74	6	18	4	24	6	0	6	0	0	4	10	12	22	0	6	8
"ZIAA"	22	19	166	2	148	58	118	8	20	4	0	30	2	146	27	152	42	29	8	22	106	0	10	46	48	38	54	8	6	12
"ZIAR"	8	0	0	0	4	0	4	0	0	0	0	0	0	10	0	2	2	4	0	0	2	0	4	2	0	2	6	0	0	0
"ZINT"	0	6	2166	0	34	14	31	4	2	0	0	49	2	20	6	52	20	8	0	13	11	0	0	31	12	4	34	0	24	0
"ZIPB"	134	64	2112	15	536	459	272	102	130	14	0	412	8	2003	100	222	70	194	48	160	430	18	30	186	192	72	424	58	98	402
"ZITB"	19	38	3498	10	40	19	33	11	14	0	0	32	2	14	24	66	12	6	4	24	8	0	6	28	12	10	85	0	7	22
"ZNEB"	58	38	18	12	186	298	96	8	8	18	0	152	0	140	38	90	36	34	16	24	58	12	4	22	48	4	126	8	14	180
"ZNTA"	118	34	17932	18	248	267	219	103	60	6	8	348	14	555	93	490	68	52	20	50	222	6	14	133	107	36	470	20	40	240
"ZNTR"	6	0	1879	2	6	8	34	5	0	0	0	27	0	6	4	19	0	0	0	4	10	0	0	17	10	1	27	0	0	2
"ZNUA"	36	2	6560	0	74	36	48	22	15	0	18	48	2	13	22	75	22	10	4	20	54	8	0	21	16	10	81	2	8	31
"ZNUB"	32	14	4110	2	55	86	61	11	18	0	2	66	2	136	20	75	26	14	2	22	56	8	8	23	14	10	86	4	4	78
"ZNUC"	28	4	3963	2	29	16	26	9	4	8	4	44	0	30	18	80	24	6	4	20	42	0	10	18	6	14	29	4	4	4
"ZOG"	2	8	0	0	10	2	18	0	2	0	0	12	0	42	6	12	2	6	6	4	12	0	2	0	8	14	12	0	4	4
"ZRAR"	84	20	11664	12	226	167	189	34	54	0	0	255	2	147	70	150	52	30	20	61	124	0	24	78	106	39	363	4	8	82
"ZRAS"	34	28	7268	2	104	50	60	31	28	8	0	137	3	62	14	165	26	18	8	35	80	6	12	63	31	28	207	8	22	40
"ZUPT"	27	12	3523	4	66	30	58	18	2	0	0	35	0	52	12	34	13	6	5	12	32	4	8	32	34	29	81	6	0	4
"ZUR"	16	10	3783	0	56	16	30	4	2	0	4	35	2	19	4	35	6	8	0	10	17	0	0	14	11	0	82	10	8	1
